"ID,""Collection"",""ENS"",""Minting Date"",""Tx Count"",""Power"""
"1120186,""0x4cb780fd3286f2d10199b61423d1c804bd2a5d2b"",""terransforce.eth"",""Mon, 06 Sep 2021 18:05:50 GMT"",""1"",""1151"""
"1120189,""0x91b8283a554e54df5b2a0ce9a786cd92171cca8d"","""",""Mon, 06 Sep 2021 18:06:10 GMT"",""1"",""300"""
"1120190,""0x5d2534f02c5ffd255ec9987909521700765807dd"","""",""Mon, 06 Sep 2021 18:06:20 GMT"",""1"",""381"""
"1120193,""0x767d2943b1f6d8fecc1817649511b7ed7de6a63e"","""",""Mon, 06 Sep 2021 18:06:45 GMT"",""1"",""57"""
"1120194,""0xfd80f98be68103000214b0e8dad46c3e0d71a2ba"","""",""Mon, 06 Sep 2021 18:06:50 GMT"",""1"",""262"""
"1120195,""0x005c977d732ed2fdf10b773a1489f5aade805bf2"","""",""Mon, 06 Sep 2021 18:06:50 GMT"",""1"",""1401"""
"1120196,""0x0634ce9ff02206eb7dde79991caecb7affb5ba5f"","""",""Mon, 06 Sep 2021 18:06:50 GMT"",""1"",""380"""
"1120197,""0x7371c7d15ccba70719fd01d62956805870e25354"",""wenyuxin.eth"",""Mon, 06 Sep 2021 18:07:20 GMT"",""1"",""72"""
"1120198,""0x39134c4e7a15619477351e1eec6b3563a3fbec45"","""",""Mon, 06 Sep 2021 18:07:30 GMT"",""1"",""411"""
"1120200,""0x210520182b397f79d6b3c50ad91a1215d809061b"","""",""Mon, 06 Sep 2021 18:07:55 GMT"",""1"",""263"""
"1120202,""0x9dafacc0e91d2091711f53c26611a0ce5acb9a4a"","""",""Mon, 06 Sep 2021 18:08:10 GMT"",""1"",""162"""
"1120203,""0x7d51352086b80587bc4bbc6a2ee0f0a58e0cab9f"","""",""Mon, 06 Sep 2021 18:08:10 GMT"",""1"",""345"""
"1120204,""0x80a653bb0d51f66ee2933bf06098103f6eb4ea13"","""",""Mon, 06 Sep 2021 18:08:15 GMT"",""1"",""257"""
"1120206,""0xbeee816c3ab89976b22faba9a17e12488e30bcaa"","""",""Mon, 06 Sep 2021 18:08:45 GMT"",""1"",""644"""
"1120207,""0xb59da3a5fa2fab1e8aae5cb352146b3b02f53578"",""cosy.eth"",""Mon, 06 Sep 2021 18:08:55 GMT"",""1"",""107"""
"1120209,""0xbc4bede6fae83d2ad830d7ad5ab86a6c78466cf4"",""apexit.eth"",""Mon, 06 Sep 2021 18:08:55 GMT"",""1"",""972"""
"1120210,""0xaefaaea73398777a7ccfbad02aec404c0920ac91"","""",""Mon, 06 Sep 2021 18:08:55 GMT"",""1"",""284"""
"1120211,""0x574c0fabdff9edad20915ec69c0bb9fbe6f2d086"","""",""Mon, 06 Sep 2021 18:08:55 GMT"",""1"",""1338"""
"1120212,""0xc93ffb6ccfa0fbe215de35afb3c7020a76accb4b"",""yxy001.eth"",""Mon, 06 Sep 2021 18:09:05 GMT"",""1"",""66"""
"1120213,""0x09dce0f0960c35ee0307d602f22eaeafccff209d"",""capitalg.eth"",""Mon, 06 Sep 2021 18:09:10 GMT"",""1"",""896"""
"1120214,""0xdf779e379f3e445a0e9e6bbe1eb905007deb0c37"","""",""Mon, 06 Sep 2021 18:09:20 GMT"",""1"",""203"""
"1120215,""0x4f6f1fe277467bd6ca0981cc22bcd4a1cb142308"","""",""Mon, 06 Sep 2021 18:09:35 GMT"",""1"",""248"""
"1120216,""0xeb449ec00f73860fdfa659feb79005065351119f"",""mitoken.eth"",""Mon, 06 Sep 2021 18:09:40 GMT"",""1"",""824"""
"1120217,""0xea1369356677096923b8e7cdc9cf127539d284bd"",""bitpark.eth"",""Mon, 06 Sep 2021 18:09:45 GMT"",""1"",""199"""
"1120220,""0xec66352d727ed6dc705f949f9641603617caae81"","""",""Mon, 06 Sep 2021 18:09:55 GMT"",""1"",""198"""
"1120224,""0xfb69adabf5e0e50048952f8d73dc05586abb6689"","""",""Mon, 06 Sep 2021 18:10:15 GMT"",""1"",""273"""
"1120225,""0xc15316bde4fa13dd8f3f3348dccb878e8c033518"","""",""Mon, 06 Sep 2021 18:10:30 GMT"",""1"",""330"""
"1120227,""0xa38f82506c3ab79816d625ad286574133fc6f4e9"",""kb824.eth"",""Mon, 06 Sep 2021 18:10:35 GMT"",""1"",""1586"""
"1120228,""0xf7a91d78d4d3f1779cdab33e56b5942b27331fe1"",""mibtc.eth"",""Mon, 06 Sep 2021 18:10:35 GMT"",""1"",""803"""
"1120229,""0x834657f945e839837aa6387fcbffebb104aaf2d4"","""",""Mon, 06 Sep 2021 18:10:35 GMT"",""1"",""123"""
"1120230,""0x0a12100fea75c49d33df61de364a354db5e4bdbc"","""",""Mon, 06 Sep 2021 18:10:40 GMT"",""1"",""466"""
"1120231,""0x49fed073f77defdee3c3305689955631ead71187"","""",""Mon, 06 Sep 2021 18:10:45 GMT"",""1"",""429"""
"1120232,""0x53aa7ec5ec6cc150fe6cdcf0fddec50e1f4873c6"",""yipit.eth"",""Mon, 06 Sep 2021 18:10:45 GMT"",""1"",""980"""
"1120233,""0xb52920e86db1e558d126e2d41ddac731357c8458"","""",""Mon, 06 Sep 2021 18:10:50 GMT"",""1"",""1018"""
"1120234,""0xaf9fb78e8e2a55fbf713833c1d541593a0e07f8a"","""",""Mon, 06 Sep 2021 18:10:55 GMT"",""1"",""246"""
"1120237,""0x7bb9dccc97052ddef05141897fe8313fd4ad0418"","""",""Mon, 06 Sep 2021 18:11:25 GMT"",""1"",""217"""
"1120238,""0xdd47d3db30809a107c1dd59417a61230458d278e"","""",""Mon, 06 Sep 2021 18:11:30 GMT"",""1"",""30"""
"1120239,""0xce7cdcca6e7557e05de4f5d7355f89ec76480f50"","""",""Mon, 06 Sep 2021 18:11:35 GMT"",""1"",""11"""
"1120240,""0x9d75b8717aa34258dea1afd74306cb41e30f7b3f"","""",""Mon, 06 Sep 2021 18:11:40 GMT"",""1"",""535"""
"1120243,""0xf88a14bde7b3e7ac21705e4e719f178a80461962"","""",""Mon, 06 Sep 2021 18:12:00 GMT"",""1"",""331"""
"1120244,""0xdb9d0832063a131a83e7e3453ebf440206c814bf"","""",""Mon, 06 Sep 2021 18:12:25 GMT"",""1"",""34"""
"1120245,""0x41af6c1a8175dee93e3ee7f2ed5484a8f3cceb5e"","""",""Mon, 06 Sep 2021 18:12:25 GMT"",""1"",""4"""
"1120246,""0x28c45e9a0bce210a05f304949f87d5268ac279d5"",""esth3r.eth"",""Mon, 06 Sep 2021 18:12:35 GMT"",""1"",""1859"""
"1120247,""0xac395a12cd0b1bf56e4c832bffb60e723953cd5b"","""",""Mon, 06 Sep 2021 18:12:40 GMT"",""1"",""417"""
"1120248,""0x26947df14ade0f2ad0e18f40a350350015c10fbc"","""",""Mon, 06 Sep 2021 18:12:45 GMT"",""1"",""351"""
"1120249,""0xe252b9b9cc16d46560e96d5474cf84aaa73f5f23"","""",""Mon, 06 Sep 2021 18:12:45 GMT"",""1"",""1322"""
"1120250,""0x3ae21f15c5239ba7968ccd42e4377e1c0a8671d3"","""",""Mon, 06 Sep 2021 18:12:55 GMT"",""1"",""372"""
"1120251,""0x1be7986e2703fb1c3ec7ba26d65d36ad218dd733"","""",""Mon, 06 Sep 2021 18:13:25 GMT"",""1"",""130"""
"1120254,""0xa8293dd8eb52564a35b8357a539146321b934153"",""lbjames.eth"",""Mon, 06 Sep 2021 18:13:30 GMT"",""1"",""469"""
"1120256,""0x987339c64a70f6f32456cb38cd326f5bcbbf9d0b"","""",""Mon, 06 Sep 2021 18:13:45 GMT"",""1"",""563"""
"1120257,""0x930c981d82ae19c9e84f4f4f7e8de465417e0392"","""",""Mon, 06 Sep 2021 18:13:45 GMT"",""1"",""197"""
"1120258,""0x734a9f30856ceab197a208dd86e028256acd50b6"","""",""Mon, 06 Sep 2021 18:13:50 GMT"",""1"",""23"""
"1120259,""0x6a0fda44c8b72a099b6a6ca317387dfb4c3ca3e0"",""bee123.eth"",""Mon, 06 Sep 2021 18:13:55 GMT"",""1"",""91"""
"1120262,""0x1b1d023696015e40be026e1fab12a9d64f4bc1b3"","""",""Mon, 06 Sep 2021 18:14:10 GMT"",""1"",""719"""
"1120263,""0xfdaae168c3d835da1f974447cdccf8c7476d0792"","""",""Mon, 06 Sep 2021 18:14:30 GMT"",""1"",""716"""
"1120264,""0x611a6ed28cb59dee17df7b579bf3796b10e326a6"","""",""Mon, 06 Sep 2021 18:14:35 GMT"",""1"",""381"""
